#period	period time	calc time
1	4991	1750
2	6002	1747
3	4995	1749
4	5742	2250
5	5254	1746
6	5743	2250
7	5243	1750
8	5755	2246
9	5238	1750
10	5744	2261
11	5253	1750
12	5742	2261
13	5253	2012
14	5744	2249
15	5242	2001
16	5754	1995
17	5243	1996
18	5741	2000
19	5505	1744
20	5495	1995
21	5491	1761
22	5499	2256
23	5495	1748
24	5502	2247
25	5493	2247
26	5493	1748
27	5504	1740
28	5492	1997
29	5495	1524
30	5503	2246
31	5488	1749
32	5505	1994
33	5491	2000
34	5493	1749
35	5502	1999
36	5495	1746
37	5496	1755
38	5496	1500
39	5493	1999
40	5502	1995
41	5494	1749
42	5493	1501
43	5504	1772
44	5493	1998
45	5493	1509
46	5499	1998
47	5496	1747
48	5502	1995
49	5493	1748
50	5492	1999
51	5502	1741
52	5493	1998
53	5494	2008
54	5750	1998
55	5243	1999
56	5505	1743
57	5492	1748
58	5493	1749
59	5502	2000
60	5740	2003
61	5247	1758
62	5498	2007
63	5494	1751
64	5755	2238
65	5242	1748
66	5742	2248
67	5504	1744
68	5488	2001
69	5248	1752
70	5753	2244
71	5239	2750
72	5746	2000
73	5256	1992
74	5738	2000
75	5245	2000
76	5753	2244
77	5239	2001
78	5747	2004
79	5245	2002
80	5741	1996
81	5243	2019
82	5765	2244
83	5243	1748
84	5744	2255
85	5251	2498
86	5744	2246
87	5241	1760
88	5756	1741
89	5237	1749
